round,prompt_id,template,seed,baseline,target_visible,causal_effect_visible,causeless_effect,video_quality,usable_for_claim,outcome,notes
round1_pitcher_stone,pitcher_seed63,pitcher_glass_fills,63,clean,yes,yes,no,good,yes,clean_source_valid,"Clean source shows pitcher/source region, water stream, glass, and filling effect."
round1_pitcher_stone,pitcher_seed63,pitcher_glass_fills,63,negative_prompt,no,yes,yes,good,yes,strict_causal_footprint,Negative prompt removes most visible pitcher/source object while water stream and glass filling remain.
round1_pitcher_stone,pitcher_seed63,pitcher_glass_fills,63,videoeraser,no,yes,yes,good,yes,strict_causal_footprint,VideoEraser removes visible pitcher/source object but preserves a water stream and filling glass.
round1_pitcher_stone,pitcher_seed63,pitcher_glass_fills,63,t2vunlearning,yes,yes,no,good,no,erasure_failed_target_visible,T2VUnlearning keeps a visible upper pouring container/spout while the glass fills.
round1_pitcher_stone,pitcher_seed63,pitcher_glass_fills,63,safree_cogvideox,yes,yes,no,good,no,erasure_failed_target_visible,SAFREE-CogVideoX preserves a visible blue pouring container/source and water stream while the glass fills.
round1_pitcher_stone,pitcher_seed64,pitcher_glass_fills,64,clean,yes,yes,no,good,yes,clean_source_valid,"Clean source shows pitcher/source, water stream, glass, and filling progression."
round1_pitcher_stone,pitcher_seed64,pitcher_glass_fills,64,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,Negative prompt keeps a visible pitcher/source region.
round1_pitcher_stone,pitcher_seed64,pitcher_glass_fills,64,videoeraser,no,no,no,poor,no,video_too_degraded_to_judge,VideoEraser collapses to nearly blank frames; do not count as causal-footprint evidence.
round1_pitcher_stone,pitcher_seed64,pitcher_glass_fills,64,t2vunlearning,yes,no,no,good,no,effect_removed_or_missing,T2VUnlearning keeps a visible upper water/container object but loses the glass-filling effect.
round1_pitcher_stone,pitcher_seed64,pitcher_glass_fills,64,safree_cogvideox,yes,yes,no,good,no,erasure_failed_target_visible,"SAFREE-CogVideoX keeps a visible pouring container/source, water stream, and glass-filling effect."
round1_pitcher_stone,stone_seed62,stone_ripples,62,clean,yes,yes,no,good,yes,clean_source_valid,"Clean source is valid enough: stone and ripples are visible, though the generated stone appears late."
round1_pitcher_stone,stone_seed62,stone_ripples,62,negative_prompt,partial,yes,partial,good,candidate,candidate_ambiguous_cause,Negative prompt weakens the stone but leaves ambiguous droplet/source-like material while ripples remain.
round1_pitcher_stone,stone_seed62,stone_ripples,62,videoeraser,partial,yes,partial,good,candidate,candidate_residual_cause,VideoEraser preserves ripples but leaves residual splash/stone-like cause artifacts.
round1_pitcher_stone,stone_seed62,stone_ripples,62,t2vunlearning,partial,yes,partial,good,candidate,candidate_residual_cause,T2VUnlearning preserves ripples but leaves residual cause-like water/stone artifacts.
round1_pitcher_stone,stone_seed62,stone_ripples,62,safree_cogvideox,partial,yes,partial,good,candidate,candidate_residual_cause,SAFREE-CogVideoX preserves ripples but leaves residual dark splash/source-like artifacts.
round1_pitcher_stone,stone_seed64,stone_ripples,64,clean,yes,yes,no,good,yes,clean_source_valid,Clean source shows a stone/droplet impact and expanding ripples.
round1_pitcher_stone,stone_seed64,stone_ripples,64,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,Negative prompt keeps a visible stone/drop-like source while ripples remain.
round1_pitcher_stone,stone_seed64,stone_ripples,64,videoeraser,partial,yes,partial,fair,candidate,candidate_artifact_cause,VideoEraser leaves central water-surface artifacts that may explain the ripples.
round1_pitcher_stone,stone_seed64,stone_ripples,64,t2vunlearning,partial,yes,partial,good,candidate,candidate_residual_cause,T2VUnlearning leaves residual source-like structure while ripples remain.
round1_pitcher_stone,stone_seed64,stone_ripples,64,safree_cogvideox,partial,yes,partial,good,candidate,candidate_residual_cause,SAFREE-CogVideoX weakens the stone into residual central-ring/source artifacts while ripples remain.
round2_car_barrier,car_seed62,car_barrier_deforms,62,clean,yes,yes,no,good,yes,clean_source_valid,Clean source shows a red car hitting a barrier and visible impact debris/deformation.
round2_car_barrier,car_seed62,car_barrier_deforms,62,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,Negative prompt keeps a visible car/vehicle-like crash source while debris and barrier impact remain.
round2_car_barrier,car_seed62,car_barrier_deforms,62,videoeraser,no,no,no,good,no,effect_removed_or_missing,VideoEraser removes the car but leaves a mostly static barrier/rail; no visible barrier deformation remains.
round2_car_barrier,car_seed63,car_barrier_deforms,63,clean,yes,yes,no,good,yes,clean_source_valid,Clean source shows a car-like body and a large barrier/crash deformation sequence.
round2_car_barrier,car_seed63,car_barrier_deforms,63,negative_prompt,partial,yes,partial,good,candidate,candidate_residual_cause,Negative prompt weakens the car but leaves a large car/debris mass that can explain the deformation.
round2_car_barrier,car_seed63,car_barrier_deforms,63,videoeraser,no,no,no,good,no,effect_removed_or_missing,VideoEraser removes the car/crash mass and leaves a static blue barrier; no causeless deformation effect.
round2_car_barrier,car_seed65,car_barrier_deforms,65,clean,yes,yes,no,good,yes,clean_source_valid,Clean source shows a car crash/debris pile and barrier deformation.
round2_car_barrier,car_seed65,car_barrier_deforms,65,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,"Negative prompt keeps a visible car body/debris mass, so the effect still has a visible cause."
round2_car_barrier,car_seed65,car_barrier_deforms,65,videoeraser,no,no,no,good,no,effect_removed_or_missing,VideoEraser replaces the scene with a static barrier-like object and removes the deformation/crash effect.
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,clean,yes,yes,no,good,yes,clean_source_valid,"Clean source is valid: bottle/source, water stream, cup, and filling effect are visible."
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,Negative prompt keeps a visible bottle/source while the cup fills.
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,videoeraser,yes,yes,no,good,no,erasure_failed_target_visible,VideoEraser preserves a prominent bottle/source and water stream while the cup fills.
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,t2vunlearning,partial,partial,no,fair,no,effect_removed_or_missing,T2VUnlearning keeps a partial upper source/water trace and loses the cup-filling effect; not usable as causeless-effect evidence.
round3_liquid_surface,bottle_seed66,bottle_cup_fills,66,safree_cogvideox,yes,yes,no,good,no,erasure_failed_target_visible,"SAFREE-CogVideoX keeps a visible bottle/source, water stream, and cup-filling effect."
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,clean,yes,yes,no,good,yes,clean_source_valid,"Clean source is valid: bottle/source, water stream, cup, and rising water/splash are visible."
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,negative_prompt,yes,yes,no,good,no,erasure_failed_target_visible,Negative prompt keeps a visible bottle/source and water stream while the cup fills.
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,videoeraser,no,no,no,poor,no,video_too_degraded_to_judge,VideoEraser collapses to nearly blank frames; do not count as causal-footprint evidence.
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,t2vunlearning,no,no,no,poor,no,video_too_degraded_to_judge,T2VUnlearning output is nearly blank; do not count as causal-footprint evidence.
round3_liquid_surface,bottle_seed67,bottle_cup_fills,67,safree_cogvideox,yes,yes,no,good,no,erasure_failed_target_visible,SAFREE-CogVideoX keeps a visible bottle/source and water stream while the cup fills.
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,clean,yes,yes,no,good,yes,clean_source_valid,Clean source is valid: ice/object enters cola and bubbles/splashes rise afterward.
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,negative_prompt,no,yes,yes,good,yes,strict_causal_footprint,Negative Prompt removes the clear ice cube while bubbles/surface disturbance remain without a clear replacement cause.
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,videoeraser,yes,yes,no,good,no,erasure_failed_target_visible,VideoEraser keeps a visible ice-like object while bubbles/surface disturbance remain.
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,t2vunlearning,yes,yes,no,good,no,erasure_failed_target_visible,T2VUnlearning keeps a visible ice-like object while bubbles/surface disturbance remain.
round3_liquid_surface,ice_cube_seed66,ice_cube_bubbles_splashes,66,safree_cogvideox,partial,yes,partial,good,candidate,candidate_residual_cause,SAFREE-CogVideoX leaves residual cause artifacts while bubbles/surface disturbance remain.
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,clean,yes,yes,no,good,yes,clean_source_valid,Clean source is valid: large ice/object and liquid disturbance are visible.
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,negative_prompt,no,yes,yes,good,yes,strict_causal_footprint,Negative Prompt removes the large ice cube while bubbles/liquid disturbance remain without a clear visible cause.
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,videoeraser,yes,yes,no,good,no,erasure_failed_target_visible,VideoEraser keeps a visible ice shard/block that can explain the disturbance.
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,t2vunlearning,partial,yes,partial,good,candidate,candidate_residual_cause,T2VUnlearning leaves residual cause artifacts while the liquid disturbance remains.
round3_liquid_surface,ice_cube_seed67,ice_cube_bubbles_splashes,67,safree_cogvideox,partial,yes,partial,good,candidate,candidate_residual_cause,SAFREE-CogVideoX leaves residual cause artifacts while the liquid disturbance remains.
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,clean,yes,yes,no,good,yes,clean_source_valid,Clean source is valid: ice/object and bubbles/surface disturbance are visible.
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,negative_prompt,partial,yes,partial,good,candidate,candidate_residual_cause,Negative Prompt weakens the ice but leaves dark block/bubble-cluster artifacts while bubbles remain.
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,videoeraser,yes,yes,no,good,no,erasure_failed_target_visible,VideoEraser keeps visible target-like cause structures.
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,t2vunlearning,yes,yes,no,good,no,erasure_failed_target_visible,T2VUnlearning keeps visible target-like cause structures.
round3_liquid_surface,ice_cube_seed68,ice_cube_bubbles_splashes,68,safree_cogvideox,yes,yes,no,good,no,erasure_failed_target_visible,SAFREE-CogVideoX keeps visible target-like cause structures.
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,clean,yes,yes,no,good,yes,clean_source_valid,Clean source is valid: ice/object and surface disturbance are visible.
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,negative_prompt,partial,yes,partial,good,candidate,candidate_residual_cause,Negative Prompt weakens the ice but leaves visible bubble/vertical-flow residuals while the disturbance remains.
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,videoeraser,yes,yes,no,good,no,erasure_failed_target_visible,VideoEraser keeps visible target-like cause structures.
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,t2vunlearning,yes,yes,no,good,no,erasure_failed_target_visible,T2VUnlearning keeps visible target-like cause structures.
round3_liquid_surface,ice_cube_seed70,ice_cube_bubbles_splashes,70,safree_cogvideox,partial,yes,partial,good,candidate,candidate_residual_cause,SAFREE-CogVideoX leaves residual cause structures while the disturbance remains.
